timestamp,x,y,z,w
1516786562688910,-0.207642,-0.127319,0.354492,0.902771
1516786562703951,-0.209412,-0.128906,0.35199,0.903076
1516786562726010,-0.215027,-0.131409,0.349121,0.902527
1516786562749071,-0.220703,-0.133057,0.347168,0.901672
1516786562763109,-0.221741,-0.13269,0.345764,0.902039
1516786562786167,-0.220215,-0.131714,0.343872,0.903259
1516786562810233,-0.219116,-0.131958,0.341736,0.904297
1516786562825273,-0.217712,-0.133118,0.340027,0.90509
1516786562846329,-0.215515,-0.133789,0.338745,0.906006
1516786562869391,-0.212097,-0.133789,0.337463,0.907288
1516786562885432,-0.208191,-0.133484,0.336487,0.90863
1516786562938573,-0.204895,-0.133667,0.335754,0.909607
1516786562939576,-0.202209,-0.133911,0.334961,0.910461
1516786562949604,-0.199707,-0.13385,0.333801,0.911438
1516786562966654,-0.197449,-0.133301,0.332153,0.912598
1516786562982692,-0.195007,-0.13269,0.330994,0.913635
1516786563007758,-0.191895,-0.131897,0.330078,0.914734
1516786563048899,-0.187866,-0.130798,0.329163,0.916077
1516786563058929,-0.184509,-0.12915,0.328674,0.917175
1516786563064909,-0.183838,-0.130066,0.329102,0.917053
1516786563087120,-0.190063,-0.134949,0.328735,0.915161
1516786563109026,-0.208618,-0.141113,0.325562,0.911316
1516786563123065,-0.231262,-0.144714,0.330811,0.903381
1516786563147300,-0.248108,-0.144287,0.348511,0.892273
1516786563169188,-0.243408,-0.130371,0.383179,0.881409
1516786563184229,-0.237976,-0.112305,0.422974,0.867065
1516786563207377,-0.239319,-0.0992432,0.459656,0.849426
1516786563229347,-0.239014,-0.0856934,0.498047,0.829102
1516786563243531,-0.235168,-0.0715332,0.537354,0.806702
1516786563267447,-0.230469,-0.0608521,0.575256,0.78241
1516786563289541,-0.225952,-0.0562744,0.610901,0.756653
1516786563303703,-0.218567,-0.0552368,0.643188,0.73175
1516786563326607,-0.207947,-0.0552979,0.671509,0.708984
1516786563342650,-0.195068,-0.0582275,0.694763,0.689758
1516786563363705,-0.182068,-0.0692749,0.712097,0.674438
1516786563386792,-0.166809,-0.0845337,0.723938,0.664001
1516786563402807,-0.150024,-0.101196,0.731995,0.656799
1516786563424015,-0.133118,-0.118469,0.737061,0.651794
1516786563446928,-0.112122,-0.129822,0.73761,0.653076
1516786563462971,-0.0892944,-0.127075,0.735352,0.659607
