timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1516691214341410,-2,-13,-11,-6,-5,-4,-1,-2
1516691214348425,-1,3,-2,-4,2,1,-1,-3
1516691214348425,-1,9,5,-1,-1,-1,0,1
1516691214355948,-4,-32,-13,-3,-1,0,-2,-1
1516691214355948,-2,-7,5,-3,-7,1,-3,-3
1516691214364506,9,-2,-2,3,4,0,0,3
1516691214364506,-6,-16,-13,-5,-2,0,-2,-1
1516691214378095,4,34,15,4,1,-1,-1,-1
1516691214378095,0,-23,0,9,2,2,0,-1
1516691214387047,-9,10,4,4,1,0,0,-3
1516691214387047,2,-9,-7,-2,-2,-2,-2,-1
1516691214401566,-5,-8,-7,-12,-3,0,-1,0
1516691214401566,9,11,2,1,1,-2,1,0
1516691214408178,-4,-7,-7,-1,-4,0,0,0
1516691214408178,-1,-6,3,-3,0,0,-1,-2
1516691214415604,-3,8,7,5,-1,-2,0,-3
1516691214415604,-3,-10,-10,-3,6,1,-2,0
1516691214424629,-1,0,6,-3,-3,-1,1,0
1516691214424629,-5,-21,-8,-7,-6,-4,-1,-2
1516691214438249,0,6,-2,-1,0,-1,-1,-1
1516691214438249,0,10,7,6,3,1,-1,1
1516691214447188,-2,-8,-3,3,2,1,-1,1
1516691214447188,4,24,6,-3,-2,-2,0,-2
1516691214461309,-11,-41,-14,-12,-7,-4,-2,-5
1516691214461309,-1,5,2,8,2,-2,-2,0
1516691214468243,1,-3,-3,-9,-5,-1,-3,0
1516691214468243,-2,-2,-6,3,1,0,0,0
1516691214475764,-3,3,-4,-7,-2,0,0,0
1516691214475764,-1,6,3,2,-3,-2,1,-2
1516691214484899,2,4,-1,-7,-5,-2,-1,-1
1516691214484899,2,5,1,1,0,-1,0,1
1516691214498502,1,-33,-24,-7,-2,-2,-3,0
1516691214498502,2,37,13,1,-1,-1,-1,1
1516691214507452,-2,-12,5,10,0,3,-2,-3
1516691214507452,-4,1,-1,-2,1,0,-1,-2
1516691214521519,-2,0,2,2,-1,-1,-2,1
1516691214521519,6,-4,-8,-7,-3,-1,1,1
1516691214528509,-13,-12,-5,-6,0,-2,-2,-4
1516691214528509,1,2,5,1,-3,-1,-4,-1
1516691214535527,5,6,-1,1,2,2,0,1
1516691214535527,0,-4,0,-2,-4,-2,1,7
1516691214550566,0,12,1,-3,-5,-4,-1,-1
1516691214550566,-1,-16,-14,-3,1,-1,-2,-3
1516691214558120,-1,12,14,0,-4,0,-3,-2
1516691214558120,0,1,6,11,8,4,2,0
1516691214567169,1,5,2,4,1,-2,1,-1
1516691214567169,1,-11,-11,-5,-3,-2,0,-1
1516691214581208,-1,9,1,0,-1,-2,0,-2
1516691214581208,-4,-5,-9,-9,-5,-3,-3,-4
1516691214589730,-2,-5,5,-2,0,-1,1,0
1516691214589730,1,8,-2,1,0,0,0,0
1516691214595746,-1,6,7,8,1,1,0,-2
1516691214595746,-1,-8,-13,-12,-6,-3,-4,-1
1516691214610823,4,3,1,3,4,0,1,-1
1516691214610823,-4,2,1,0,-1,-1,-1,-4
1516691214618342,-5,-11,-5,-5,-4,-3,-1,1
1516691214618342,-3,0,3,1,-1,1,1,-3
1516691214627330,1,1,-3,4,2,1,-3,-1
1516691214627330,-4,-10,-5,-6,-7,-2,-1,-1
1516691214641367,0,5,5,13,2,-1,1,1
1516691214641367,0,1,0,-4,-1,-2,-1,-2
1516691214648387,1,4,-4,-1,-4,-3,-2,-1
1516691214648387,-5,-24,-7,-3,-3,0,-2,0
1516691214655904,-4,-3,-4,-3,1,-1,-1,-8
1516691214655904,0,5,4,3,-4,1,0,0
1516691214670944,6,-6,-17,-12,-7,-2,1,8
1516691214670944,-4,0,6,-8,3,1,1,1
1516691214678478,5,13,20,26,6,3,2,3
1516691214678478,-4,-8,-7,-4,-5,-1,-4,-4
1516691214687490,-9,-2,-3,-4,-2,-2,-3,-7
1516691214687490,1,-2,-7,-6,-5,-3,-1,0
1516691214701563,1,0,-7,-7,4,1,-1,-1
1516691214701563,-3,-1,3,1,-1,-1,-3,-5
1516691214708080,-1,-20,2,4,0,0,0,0
1516691214708080,0,14,3,3,0,-3,-1,0
1516691214715564,-7,-16,-8,-7,-4,-2,-1,0
1516691214715564,3,1,-3,-3,-1,0,-2,2
1516691214730647,-2,2,-2,-7,-3,-1,-1,-2
1516691214730647,1,-7,-10,1,-1,-2,-3,-1
1516691214738156,-1,4,4,-18,-6,-2,-1,-2
1516691214738156,5,6,9,15,4,2,3,4
1516691214747152,-5,-2,-7,-5,-3,-3,-3,-5
1516691214747152,-1,9,7,8,1,2,0,-2
1516691214761687,-4,-5,-18,-14,-7,-4,-3,-1
1516691214761687,-3,-6,2,-10,-3,-2,-4,0
1516691214768203,2,8,20,24,12,3,2,1
1516691214768203,0,-5,-12,-9,-4,-3,0,0
1516691214775724,-2,-19,-13,-3,-1,-1,-1,-1
1516691214775724,2,30,24,-4,-4,-1,-1,1
1516691214790764,-1,-13,-12,1,-2,-2,-2,-1
1516691214790764,1,2,4,-2,-3,0,-1,-1
1516691214798368,-4,-7,-7,-1,0,-1,-1,-1
1516691214798368,-4,-12,-12,-3,-2,-2,-3,-3
1516691214807322,1,3,-7,-12,-3,-3,1,-1
1516691214807322,-2,-10,8,7,4,1,-1,-1
1516691214821429,5,24,19,11,1,-1,1,1
1516691214821429,-1,-8,-6,2,-2,-2,-1,-2
1516691214828449,-4,2,-2,-5,-1,-2,-2,-1
1516691214828449,-3,-6,-8,-2,-3,-2,-1,-2
1516691214835884,0,0,-2,-4,0,-1,-1,-2
1516691214835884,1,-1,3,-8,-1,-1,1,0
1516691214850931,-2,-2,-2,1,-2,0,-2,-2
1516691214850931,-1,-7,-4,5,0,-1,2,0
1516691214858477,2,18,9,5,1,-2,0,2
1516691214858477,-4,-8,-11,-5,-4,-4,-2,-2
1516691214866966,-1,4,-1,-7,-4,-2,-4,-3
1516691214866966,-6,-7,-5,-3,-3,2,0,-1
1516691214881506,-2,-15,-5,-2,-1,0,0,0
1516691214881506,1,6,2,-2,-1,-2,-1,0
1516691214888535,13,11,15,3,2,-1,0,3
1516691214888535,-8,13,11,12,3,1,-1,-1
1516691214904158,-11,-27,-22,-1,-2,0,-2,-3
1516691214904158,-4,-13,-11,-7,-4,-1,-1,-4
1516691214910583,-3,-6,-8,-5,-2,0,-2,0
1516691214910583,2,-15,-3,0,-1,-4,-1,-2
1516691214927210,2,7,3,-1,-2,-1,-2,0
1516691214927210,-5,-4,-9,-7,-2,-1,-3,-3
1516691214928631,2,30,10,1,-1,-1,0,0
1516691214928631,-2,-33,-7,-7,-2,-1,-1,0
1516691214941725,-1,4,6,5,-1,0,0,0
1516691214941725,0,-3,-4,3,-1,0,0,-2
1516691214948268,-1,-7,-10,-10,-7,-3,-3,-3
1516691214948268,-1,8,-4,-5,-1,-2,-2,0
1516691214963724,4,33,13,-4,0,-1,0,1
1516691214963724,-5,-41,-10,7,-1,-3,-5,-2
1516691214970744,-2,-5,-3,-1,-3,0,-1,-2
1516691214970744,-1,13,4,-2,-2,-2,-2,-2
1516691214987352,1,-13,-15,-3,-4,-2,-3,-1
1516691214987352,0,33,21,3,5,1,4,1
1516691214988791,-10,-51,-34,-14,-4,-5,-1,-5
1516691214988791,1,68,37,11,2,0,-2,2
1516691215001324,-8,-17,-6,2,-4,-1,-2,-2
1516691215001324,14,8,-6,-4,-2,0,0,1
1516691215008436,-13,-16,-8,1,0,0,-1,-5
1516691215008436,9,-2,-7,-6,-1,-1,1,-1
1516691215023885,-3,-1,-8,-14,-3,-2,-3,-3
1516691215023885,-5,9,19,7,4,1,-1,-1
1516691215030952,2,6,6,14,3,2,1,1
1516691215030952,5,-16,-7,0,-2,1,-1,-2
1516691215046946,-7,-5,-6,-5,-2,-3,1,-1
1516691215046946,-3,-17,-17,-9,-6,-2,-1,-2
1516691215048981,3,18,8,-7,-1,-2,-1,-1
1516691215048981,-4,-6,-1,4,1,-2,-1,0
1516691215061569,4,1,0,1,-3,-1,-2,2
1516691215061569,-2,-8,-5,-2,-1,-2,-2,-2
1516691215068003,-1,4,0,0,-1,-1,0,-1
1516691215068003,-3,-4,-7,-8,-4,-4,-2,-2
1516691215084044,3,6,6,-2,2,-1,0,0
1516691215084044,0,-8,-4,2,0,-1,-1,1
1516691215098082,-3,12,4,-2,-2,-1,-2,-2
1516691215098082,-2,-16,-5,-1,-2,-2,-2,-4
1516691215107106,5,9,13,10,4,2,1,1
1516691215107106,-3,1,-8,-7,1,0,1,-1
1516691215108609,-1,-5,-9,-4,-4,-1,1,0
1516691215108609,-5,7,4,-10,-3,-1,-1,-2
1516691215121644,10,-7,-2,1,-1,-2,-1,1
