timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1516786563498075,-2,-2,6,2,-2,0,8,0
1516786563498075,-6,-3,-4,-3,0,-2,-1,-3
1516786563507303,1,-3,-5,22,2,-2,0,-1
1516786563507303,3,2,-18,-38,-4,-1,-4,1
1516786563522127,1,1,13,20,1,-1,1,2
1516786563522127,0,2,-7,-49,-9,-5,-4,0
1516786563528143,-1,0,4,0,1,-1,-8,-4
1516786563528143,-1,-1,-9,-4,-2,-1,1,-3
1516786563536164,0,6,32,18,4,0,4,0
1516786563536164,-3,-7,-25,-15,-6,-9,-5,-2
1516786563551204,-1,-2,-4,4,-1,0,-1,-3
1516786563551204,0,-1,12,23,-2,1,-2,0
1516786563558376,-4,-2,-4,8,-3,-1,1,1
1516786563558376,5,5,8,1,2,4,0,3
1516786563567488,-4,-11,-36,-27,-4,0,-1,1
1516786563567488,-2,-5,2,-47,-7,-4,-1,-1
1516786563582303,4,2,1,5,0,1,1,1
1516786563582303,0,-9,-35,3,-1,-1,-2,-1
1516786563597357,1,5,16,21,6,4,3,-2
1516786563597357,-16,-8,-7,22,0,2,-1,-7
1516786563597357,1,3,6,-6,-6,-1,1,11
1516786563597357,10,4,9,-28,-2,-2,-1,1
1516786563611593,2,1,6,21,4,-3,0,1
1516786563611593,1,-7,-1,-5,-8,-8,-5,-6
1516786563618528,-1,6,9,2,2,-3,0,-3
1516786563618528,-7,-4,-17,15,-4,-2,-1,-1
1516786563627504,-4,-5,-3,3,2,1,-1,-4
1516786563627504,4,1,4,-26,0,2,-1,1
1516786563641444,-6,-6,-11,-10,-2,2,0,-3
1516786563641444,1,6,9,-1,-2,2,0,2
1516786563648463,-3,-3,22,8,3,1,-1,-3
1516786563648463,2,8,-23,6,-1,-3,0,1
1516786563664506,0,-11,-21,-6,1,1,0,-1
1516786563664506,-4,-2,18,7,-1,1,-3,-3
1516786563671525,8,16,6,7,-1,1,1,2
1516786563671525,-5,-7,20,48,9,1,1,1
1516786563678543,5,14,-20,-53,-9,-9,-5,-7
1516786563678543,-4,-14,-16,10,11,0,-1,-7
1516786563687570,7,4,22,7,-2,-1,5,22
1516786563687570,-2,11,-69,-33,-8,-7,-7,-7
1516786563701604,-4,-14,32,18,-4,-1,-2,-3
1516786563701604,-8,-7,-20,-2,0,-6,-2,-7
1516786563708623,0,2,13,10,-4,-10,-5,-9
1516786563708623,7,8,-22,-28,6,13,7,4
1516786563724802,-8,-14,-61,-6,5,-1,0,-4
1516786563724802,0,1,-4,-5,-5,0,-1,0
1516786563738734,-5,-3,4,2,-2,-4,-5,-2
